post_content,trend,Likes,Shares,Comments
vistara start hiring male cabin crew,Highly Trending,565,18,129
defender scores goal chipping goalie metres,Moderately Trending,553,86,144
flights mumbai delayed strike ai staff,Moderately Trending,406,63,7
crashed indonesia jet damaged speed gauge flights,Moderately Trending,723,85,42
smart radar startup metawave raises million,Low Trending,529,62,462
real madrid lose ronaldo returns suspension,Low Trending,776,26,342
rahul pant st duo catches test,Low Trending,821,48,52
stopped using pic scarlett fake porn clip,Highly Trending,229,46,263
girl dies returning beti bachao beti padhao event,Low Trending,987,2,35
rohit smashes rd odi matches st overall,Highly Trending,385,16,320
jet airways seeks stay loans ease cash crunch reports,Low Trending,797,17,430
renaultnissanmitsubishi launch billion vc fund,Highly Trending,13,12,386
manika batra indian woman win cwg tt singles gold,Low Trending,471,9,498
suicide bomber kills nigeria mosque attack,Low Trending,692,10,436
unlike live work piyush goyal rahul,Low Trending,743,51,405
amazon overtakes alphabet worlds nd valuable firm,Moderately Trending,787,85,80
youths gangrape yearold girl make video incident,Low Trending,771,0,253
yearold killed pakistan cleric fleeing madrasa,Moderately Trending,562,43,20
kanha tiger reserve gets mascot bhoorsingh barasingha,Highly Trending,155,76,25
water supply ghaziabad noida disrupted temporarily,Moderately Trending,720,54,315
amole gupte calls kids reality shows cruel inhuman,Moderately Trending,296,67,286
vijay mallya granted bail hours arrest,Low Trending,999,10,491
rahul discusses fake news climate change french prez,Highly Trending,248,40,444
mark zuckerberg im walking says sheryl sandberg,Moderately Trending,892,67,179
bjp conspiracy failed siddaramaiah yeddyurappa resigns,Moderately Trending,792,105,66
twitter reacts talwars acquittal aarushi murder case,Moderately Trending,529,91,317
said devotion sabarimala actor rip women apart remark,Low Trending,257,6,468
tricolour sacrosanct govt mehbooba mufti flag remark,Low Trending,936,4,31
govt launches cleanliness survey swachh bharat mission,Highly Trending,424,10,369
ec dismisses claim postal ballots ktaka hotel,Highly Trending,571,36,179
yrs ago kid yrold shakti tanushree row,Moderately Trending,554,77,60
bdesh players sing dance bengali song dressing room,Low Trending,564,51,245
dhoni dreaming wc giving captaincy manager,Highly Trending,125,26,363
fans threw pigs head madrid player el clsico,Low Trending,473,14,202
captain opts bat st st time ipl games,Low Trending,582,26,444
delhi schools asked deploy male guard primary wing,Low Trending,561,38,365
people drown nagpur river live streaming fb video,Moderately Trending,462,94,96
man achieves record burgers eaten minute,Moderately Trending,545,81,309
flight passenger spots man texting sex abuse kids,Low Trending,715,69,401
india russia china hold trilateral summit,Moderately Trending,373,90,60
mea says confirmation michels extradition reports,Low Trending,742,37,334
twitter admits misuse users check health tweets,Highly Trending,45,7,41
turks stab oranges protest netherlands,Moderately Trending,493,88,195
war india option pakistan pm shahid abbasi,Highly Trending,21,2,103
did isro launch indias heaviest rocket gslv mkiii,Low Trending,626,30,489
pahlaj nihalani fired indias censor board chairman,Highly Trending,530,44,421
petrochina lost billion market value years,Highly Trending,104,8,486
rare complete fossil reptile dinosaur era,Highly Trending,467,26,34
steps like note ban generated cr taxes finance secy,Moderately Trending,582,47,254
varsities colleges varanasi remain closed monday,Moderately Trending,592,91,72
bjp form govt cgarh huge majority cm yogi,Moderately Trending,663,101,96
selfie maine le li aaj written swami om,Low Trending,828,7,273
viswanathan anand wins tal memorial rapid chess title,Highly Trending,108,59,448
